iter	Passed	Remaining
0	148	148178
1	149	74389
2	149	49786
3	150	37474
4	151	30095
5	151	25168
6	152	21659
7	153	19023
8	154	16976
9	154	15335
10	155	13992
11	156	12874
12	157	11926
13	157	11124
14	158	10426
15	159	9813
16	160	9270
17	161	8787
18	161	8353
19	162	7963
20	163	7609
21	163	7286
22	164	6991
23	165	6722
24	166	6475
25	166	6245
26	167	6032
27	168	5834
28	168	5649
29	169	5478
30	170	5317
31	170	5163
32	171	5017
33	171	4882
34	172	4753
35	172	4631
36	173	4516
37	174	4406
38	174	4302
39	175	4204
40	175	4110
41	176	4021
42	176	3936
43	177	3855
44	178	3777
45	178	3703
46	179	3632
47	179	3564
48	180	3498
49	180	3436
50	181	3375
51	181	3317
52	182	3260
53	183	3207
54	183	3154
55	184	3104
56	184	3056
57	185	3009
58	185	2965
59	186	2922
60	187	2880
61	187	2839
62	188	2799
63	188	2760
64	189	2722
65	189	2686
66	190	2650
67	190	2612
68	191	2579
69	191	2547
70	192	2515
71	192	2485
72	193	2455
73	193	2426
74	194	2398
75	194	2370
76	195	2343
77	196	2317
78	196	2292
79	197	2267
80	197	2243
81	198	2221
82	199	2199
83	199	2178
84	200	2155
85	200	2135
86	201	2112
87	201	2092
88	202	2072
89	202	2052
90	203	2033
91	204	2014
92	204	1996
93	205	1978
94	205	1960
95	206	1942
96	206	1926
97	207	1909
98	208	1893
99	208	1878
100	209	1863
101	209	1845
102	210	1830
103	210	1814
104	211	1800
105	211	1786
106	212	1772
107	212	1758
108	213	1744
109	213	1730
110	214	1717
111	214	1704
112	215	1691
113	216	1679
114	216	1667
115	217	1654
116	217	1642
117	218	1630
118	218	1618
119	219	1607
120	219	1595
121	220	1584
122	220	1572
123	221	1561
124	221	1551
125	222	1540
126	222	1530
127	222	1519
128	223	1509
129	224	1499
130	224	1490
131	225	1480
132	225	1471
133	226	1462
134	226	1453
135	227	1444
136	227	1435
137	228	1426
138	228	1418
139	229	1409
140	229	1401
141	230	1393
142	231	1385
143	231	1377
144	232	1369
145	232	1361
146	233	1353
147	233	1346
148	234	1338
149	234	1331
150	235	1323
151	235	1316
152	236	1309
153	237	1302
154	237	1295
155	238	1288
156	238	1281
157	239	1274
158	239	1268
159	240	1261
160	240	1255
161	241	1248
162	241	1242
163	242	1236
164	243	1229
165	243	1223
166	244	1217
167	244	1211
168	245	1205
169	245	1199
170	246	1194
171	246	1188
172	247	1182
173	247	1177
174	248	1171
175	249	1166
176	249	1161
177	250	1155
